hgnc_id	symbol	name	locus_group	locus_type	alias_symbol	prev_symbol	gene_group	gene_group_id	ensembl_gene_id
HGNC:18481	ATP6V0A2	ATPase H+ transporting V0 subunit a2	protein-coding gene	gene with protein product	TJ6|a2|TJ6s|TJ6M|ATP6a2|J6B7|ATP6N1D|Vph1|Stv1|a2V|RTF		V-type ATPase subunits	415	ENSG00000185344
HGNC:861	ATP6V0B	ATPase H+ transporting V0 subunit b	protein-coding gene	gene with protein product	VMA16|HATPL	ATP6F	V-type ATPase subunits	415	ENSG00000117410
HGNC:13541	ATP9B	ATPase phospholipid transporting 9B	protein-coding gene	gene with protein product	ATPIIB		ATPase phospholipid transporting	1210	ENSG00000166377
HGNC:13553	ATP11B	ATPase phospholipid transporting 11B (putative)	protein-coding gene	gene with protein product	ATPIF|ATPIR|KIAA0956		ATPase phospholipid transporting	1210	ENSG00000058063
HGNC:18802	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	protein-coding gene	gene with protein product	Atp12p|ATP12|LP3663|MGC29736		Mitochondrial respiratory chain complex assembly factors	645	ENSG00000171953
HGNC:11393	AURKA	aurora kinase A	protein-coding gene	gene with protein product	BTAK|AurA|STK7|ARK1|PPP1R47|AIK	STK15|STK6	Protein phosphatase 1 regulatory subunits|Aurora kinase family	694|3413	ENSG00000087586
HGNC:11390	AURKB	aurora kinase B	protein-coding gene	gene with protein product	Aik2|IPL1|AurB|AIM-1|ARK2|STK5|PPP1R48	STK12	Protein phosphatase 1 regulatory subunits|Chromosomal passenger complex|Aurora kinase family	694|1338|3413	ENSG00000178999
HGNC:14188	AVIL	advillin	protein-coding gene	gene with protein product	p92|FLJ12386|ADVIL|DOC6		Gelsolin/villins	950	ENSG00000135407
HGNC:896	AVPR1B	arginine vasopressin receptor 1B	protein-coding gene	gene with protein product	V1bR|VPR3	AVPR3	Arginine vasopressin and oxytocin receptors	259	ENSG00000198049
HGNC:903	AXIN1	axin 1	protein-coding gene	gene with protein product	PPP1R49		Protein phosphatase 1 regulatory subunits	694	ENSG00000103126
HGNC:15685	B4GAT1	beta-1,4-glucuronyltransferase 1	protein-coding gene	gene with protein product	IGnT|iGAT|BETA3GNTI|B3GN-T1	B3GNT6|B3GNT1			ENSG00000174684
HGNC:934	BACE2	beta-secretase 2	protein-coding gene	gene with protein product	ASP1|DRAP|ALP56|CEAP1	AEPLC	Peptidase family A1	1928	ENSG00000182240
HGNC:936	BAD	BCL2 associated agonist of cell death	protein-coding gene	gene with protein product	BCL2L8|BBC2		BCL2 homology region 3 (BH3) only	1277	ENSG00000002330
HGNC:939	BAG3	BAG cochaperone 3	protein-coding gene	gene with protein product			BAG cochaperones	1139	ENSG00000151929
HGNC:30251	BAMBI	BMP and activin membrane bound inhibitor	protein-coding gene	gene with protein product	NMA				ENSG00000095739
HGNC:28915	BATF3	basic leucine zipper ATF-like transcription factor 3	protein-coding gene	gene with protein product	JUNDM1|SNFT|JDP1		Basic leucine zipper ATF-like transcription factor family	2267	ENSG00000123685
HGNC:959	BAX	BCL2 associated X, apoptosis regulator	protein-coding gene	gene with protein product	BCL2L4		BCL2 family	1057	ENSG00000087088
HGNC:30000	BBS9	Bardet-Biedl syndrome 9	protein-coding gene	gene with protein product	B1|PTHB1		BBSome	1122	ENSG00000122507
HGNC:990	BCL2	BCL2 apoptosis regulator	protein-coding gene	gene with protein product	Bcl-2|PPP1R50		Protein phosphatase 1 regulatory subunits|BCL2 family	694|1057	ENSG00000171791
HGNC:991	BCL2A1	BCL2 related protein A1	protein-coding gene	gene with protein product	GRS|BFL1|BCL2L5|ACC-1|ACC-2|ACC2|ACC1	HBPA1	Minor histocompatibility antigens|BCL2 family	870|1057	ENSG00000140379
HGNC:1005	BCL7B	BAF chromatin remodeling complex subunit BCL7B	protein-coding gene	gene with protein product	SMARCJ2		BAF complex subunits	1604	ENSG00000106635
HGNC:1008	BCL9	BCL9 transcription coactivator	protein-coding gene	gene with protein product			Wnt enhanceosome complex	1677	ENSG00000116128
HGNC:1020	BCS1L	BCS1 ubiquinol-cytochrome c reductase complex chaperone	protein-coding gene	gene with protein product	Hs.6719|BCS|h-BCS|BJS		AAA ATPases|Mitochondrial respiratory chain complex assembly factors	413|645	ENSG00000074582
HGNC:1027	BDH1	3-hydroxybutyrate dehydrogenase 1	protein-coding gene	gene with protein product	SDR9C1	BDH	Short chain dehydrogenase/reductase superfamily	743	ENSG00000161267
HGNC:1034	BECN1	beclin 1	protein-coding gene	gene with protein product	ATG6|VPS30		Autophagy related|PIK3C3 complex subunits|MicroRNA protein coding host genes|Beclin family	1022|1596|1691|3810	ENSG00000126581
HGNC:14562	BET1	Bet1 golgi vesicular membrane trafficking protein	protein-coding gene	gene with protein product	hbet1		SNAREs	1124	ENSG00000105829
HGNC:30933	BEX2	brain expressed X-linked 2	protein-coding gene	gene with protein product	DJ79P11.1		Brain expressed X-linked family	1217	ENSG00000133134
HGNC:1044	BGN	biglycan	protein-coding gene	gene with protein product	DSPG1|SLRR1A		Small leucine rich repeat proteoglycans	573	ENSG00000182492
HGNC:35126	BHLHA9	basic helix-loop-helix family member a9	protein-coding gene	gene with protein product	BHLHF42		Basic helix-loop-helix proteins	420	ENSG00000205899
HGNC:1046	BHLHE40	basic helix-loop-helix family member e40	protein-coding gene	gene with protein product	DEC1|SHARP2|Clast5	STRA13|BHLHB2	Basic helix-loop-helix proteins	420	ENSG00000134107
HGNC:28095	BICDL1	BICD family like cargo adaptor 1	protein-coding gene	gene with protein product	FLJ26450|BICDR-1	CCDC64	BICD family cargo adaptors	3870	ENSG00000135127
HGNC:1050	BID	BH3 interacting domain death agonist	protein-coding gene	gene with protein product			Receptor ligands|BCL2 homology region 3 (BH3) only|MicroRNA protein coding host genes	542|1277|1691	ENSG00000015475
HGNC:590	BIRC2	baculoviral IAP repeat containing 2	protein-coding gene	gene with protein product	cIAP1|hiap-2|MIHB|RNF48|c-IAP1	API1	Ring finger proteins|Baculoviral IAP repeat containing|Caspase recruitment domain containing|RING finger E3 ubiquitin protein ligases	58|419|959|4163	ENSG00000110330
HGNC:593	BIRC5	baculoviral IAP repeat containing 5	protein-coding gene	gene with protein product	EPR-1|survivin	API4	Baculoviral IAP repeat containing|Chromosomal passenger complex	419|1338	ENSG00000089685
HGNC:1055	BLCAP	BLCAP apoptosis inducing factor	protein-coding gene	gene with protein product	BC10				ENSG00000166619
HGNC:1059	BLMH	bleomycin hydrolase	protein-coding gene	gene with protein product	BH		Peptidase family C1|Cysteine endopeptidases	2109|4148	ENSG00000108578
HGNC:28960	BLTP2	bridge-like lipid transfer protein family member 2	protein-coding gene	gene with protein product	DKFZp686M0843|MGC111488|BCOX1|CT101|BCOX|FMP27|Hob	KIAA0100	Bridge-like lipid transfer protein family	2141	ENSG00000007202
HGNC:1062	BLVRA	biliverdin reductase A	protein-coding gene	gene with protein product	BVRA|BVRalpha	BLVR	Gfo/Idh/MocA-like oxidoreductase domain containing|Oxidoreductases	2241|4070	ENSG00000106605
HGNC:1071	BMP4	bone morphogenetic protein 4	protein-coding gene	gene with protein product		BMP2B	Bone morphogenetic proteins	455	ENSG00000125378
HGNC:1076	BMPR1A	bone morphogenetic protein receptor type 1A	protein-coding gene	gene with protein product	ALK3|CD292	ACVRLK3	Type 1 receptor serine/threonine kinases|CD molecules|BMP receptors	345|471|3948	ENSG00000107779
HGNC:1083	BNIP2	BCL2 interacting protein 2	protein-coding gene	gene with protein product	Nip2|BNIP-2		BCL2 family|BCH domain containing |CRAL-TRIO lipid binding domain containing	1057|1299|3691	ENSG00000140299
HGNC:1085	BNIP3L	BCL2 interacting protein 3 like	protein-coding gene	gene with protein product	Nix|BNIP3a				ENSG00000104765
HGNC:1094	BPHL	biphenyl hydrolase like	protein-coding gene	gene with protein product	Bph-rp|VACVase	MCNAA			ENSG00000137274
HGNC:16108	BPIFB1	BPI fold containing family B member 1	protein-coding gene	gene with protein product	dJ1187J4.1|MGC14597|bA49G10.6|LPLUNC1|VEMSGP	C20orf114	BPI fold containing	456	ENSG00000125999
HGNC:1097	BRAF	B-Raf proto-oncogene, serine/threonine kinase	protein-coding gene	gene with protein product	BRAF1|BRAF-1		Mitogen-activated protein kinase kinase kinases|RAF family	654|1157	ENSG00000157764
HGNC:1100	BRCA1	BRCA1 DNA repair associated	protein-coding gene	gene with protein product	RNF53|BRCC1|PPP1R53|FANCS		Ring finger proteins|FA complementation groups|Protein phosphatase 1 regulatory subunits|BRCA1 A complex|BRCA1 B complex|BRCA1 C complex	58|548|694|1328|1335|1336	ENSG00000012048
HGNC:24742	BRD3OS	BRD3 opposite strand	protein-coding gene	gene with protein product	FLJ35348|bA374P20.3|SERLOC	NCRNA00094|LINC00094			ENSG00000235106
HGNC:22393	BRINP3	BMP/retinoic acid inducible neural specific 3	protein-coding gene	gene with protein product	DBCCR1L|DBCCR1L1	FAM5C			ENSG00000162670
HGNC:14255	BRPF1	bromodomain and PHD finger containing 1	protein-coding gene	gene with protein product	BR140		PHD finger proteins|PWWP domain containing|Bromodomain containing	88|1147|1232	ENSG00000156983
HGNC:1113	BRS3	bombesin receptor subtype 3	protein-coding gene	gene with protein product	BB3|BB3R|BBR3		Bombesin receptors	222	ENSG00000102239
HGNC:11405	BRSK2	BR serine/threonine kinase 2	protein-coding gene	gene with protein product	PEN11B|SAD-A	C11orf7|STK29	BR serine/threonine kinases	2135	ENSG00000174672
HGNC:17342	BRWD3	bromodomain and WD repeat domain containing 3	protein-coding gene	gene with protein product	BRODL|MRX93|FLJ38568		Bromodomain and WD repeat domain containing	3400	ENSG00000165288
HGNC:19897	BTBD6	BTB domain containing 6	protein-coding gene	gene with protein product	BDPL		BTB domain containing	861	ENSG00000184887
HGNC:1133	BTK	Bruton tyrosine kinase	protein-coding gene	gene with protein product	ATK|XLA|PSCTK1	AGMX1|IMD1	Pleckstrin homology domain containing|SH2 domain containing|Tec family tyrosine kinases|SH3 domain containing	682|741|1457|4034	ENSG00000010671
HGNC:14370	PRSS23	serine protease 23	protein-coding gene	gene with protein product	SPUVE|SIG13		Serine proteases	738	ENSG00000150687
HGNC:29625	PRSS38	serine protease 38	protein-coding gene	gene with protein product	MPN2		Serine proteases	738	ENSG00000185888
HGNC:13420	PRUNE1	prune exopolyphosphatase 1	protein-coding gene	gene with protein product	DRES-17|HTCD37|H-PRUNE	PRUNE	PRUNE family	4147	ENSG00000143363
HGNC:9498	PSAP	prosaposin	protein-coding gene	gene with protein product		SAP1|GLBA|SAP2	Receptor ligands|Saposin B type domain containing	542|4153	ENSG00000197746
HGNC:19093	PSD3	pleckstrin and Sec7 domain containing 3	protein-coding gene	gene with protein product	KIAA0942|HCA67|EFA6R|DKFZp761K1423|EFA6D		Pleckstrin homology domain containing|Pleckstrin and Sec7 domain containing	682|1948	ENSG00000156011
HGNC:9527	PSIP1	PC4 and SRSF1 interacting protein 1	protein-coding gene	gene with protein product	p52|LEDGF|p75|DFS70	PSIP2	Heparin binding growth factor family	1418	ENSG00000164985
HGNC:9529	PSKH1	protein serine kinase H1	protein-coding gene	gene with protein product			Protein serine kinase H family	3449	ENSG00000159792
HGNC:9530	PSMA1	proteasome 20S subunit alpha 1	protein-coding gene	gene with protein product	HC2|NU|PROS30|MGC14542|MGC14575|MGC14751|MGC1667|MGC21459|MGC22853|MGC23915		Proteasome	690	ENSG00000129084
HGNC:9537	PSMB1	proteasome 20S subunit beta 1	protein-coding gene	gene with protein product	PMSB1|HC5		Proteasome	690	ENSG00000008018
HGNC:9543	PSMB6	proteasome 20S subunit beta 6	protein-coding gene	gene with protein product	Y|DELTA		Proteasome	690	ENSG00000142507
HGNC:9545	PSMB8	proteasome 20S subunit beta 8	protein-coding gene	gene with protein product	RING10|D6S216E|PSMB5i|beta5i	LMP7	Proteasome	690	ENSG00000204264
HGNC:9538	PSMB10	proteasome 20S subunit beta 10	protein-coding gene	gene with protein product	LMP10|MGC1665|beta2i	MECL1	Proteasome	690	ENSG00000205220
HGNC:9559	PSMD2	proteasome 26S subunit ubiquitin receptor, non-ATPase 2	protein-coding gene	gene with protein product	S2|P97|TRAP2|MGC14274|Rpn1		Proteasome|Armadillo like helical domain containing	690|1492	ENSG00000175166
HGNC:9561	PSMD4	proteasome 26S subunit ubiquitin receptor, non-ATPase 4	protein-coding gene	gene with protein product	S5A|AF-1|AF|Rpn10		Proteasome	690	ENSG00000159352
HGNC:9567	PSMD9	proteasome 26S subunit, non-ATPase 9	protein-coding gene	gene with protein product	p27|Rpn4		Proteasome|PDZ domain containing	690|1220	ENSG00000110801
HGNC:9555	PSMD10	proteasome 26S subunit, non-ATPase 10	protein-coding gene	gene with protein product	p28		Ankyrin repeat domain containing|Proteasome	403|690	ENSG00000101843
HGNC:9568	PSME1	proteasome activator subunit 1	protein-coding gene	gene with protein product	IFI5111|PA28alpha		Proteasome	690	ENSG00000092010
HGNC:9569	PSME2	proteasome activator subunit 2	protein-coding gene	gene with protein product	PA28beta		Proteasome|MicroRNA protein coding host genes	690|1691	ENSG00000100911
HGNC:9571	PSMF1	proteasome inhibitor subunit 1	protein-coding gene	gene with protein product	PI31		Proteasome	690	ENSG00000125818
HGNC:3043	PSMG1	proteasome assembly chaperone 1	protein-coding gene	gene with protein product	c21-LRP|LRPC21|PAC1	DSCR2			ENSG00000183527
HGNC:24472	PSRC1	proline and serine rich coiled-coil 1	protein-coding gene	gene with protein product	DDA3				ENSG00000134222
HGNC:9580	PSTPIP1	proline-serine-threonine phosphatase interacting protein 1	protein-coding gene	gene with protein product	PSTPIP|CD2BP1L|CD2BP1|CD2BP1S|H-PIP|PAPAS		F-BAR domain containing|SH3 domain containing	1288|4034	ENSG00000140368
HGNC:4502	PTGDR2	prostaglandin D2 receptor 2	protein-coding gene	gene with protein product	CRTH2|CD294|DP2	GPR44	Prostaglandin receptors|CD molecules	207|471	ENSG00000183134
HGNC:9605	PTGS2	prostaglandin-endoperoxide synthase 2	protein-coding gene	gene with protein product	COX2		Prostaglandin-endoperoxide synthase family	3441	ENSG00000073756
HGNC:9611	PTK2	protein tyrosine kinase 2	protein-coding gene	gene with protein product	FAK|FADK|FAK1|PPP1R71		Protein phosphatase 1 regulatory subunits|FERM domain containing|PTK2 family tyrosine kinases|MicroRNA protein coding host genes	694|1293|1644|1691	ENSG00000169398
HGNC:9612	PTK2B	protein tyrosine kinase 2 beta	protein-coding gene	gene with protein product	CAKB|PYK2|RAFTK|PTK|CADTK	FAK2	Minor histocompatibility antigens|FERM domain containing|PTK2 family tyrosine kinases|MicroRNA protein coding host genes	870|1293|1644|1691	ENSG00000120899
HGNC:9618	PTK7	protein tyrosine kinase 7 (inactive)	protein-coding gene	gene with protein product	CCK4		I-set domain containing|Pseudokinases|WNT binding RTK type pseudokinases	593|1678|3871	ENSG00000112655
HGNC:26965	PTPMT1	protein tyrosine phosphatase mitochondrial 1	protein-coding gene	gene with protein product	PLIP|DUSP23|MOSP		Atypical dual specificity phosphatases|Phosphoinositide phosphatases	896|1079	ENSG00000110536
HGNC:9642	PTPN1	protein tyrosine phosphatase non-receptor type 1	protein-coding gene	gene with protein product		PTP1B	Protein tyrosine phosphatases non-receptor type	812	ENSG00000196396
HGNC:9658	PTPN6	protein tyrosine phosphatase non-receptor type 6	protein-coding gene	gene with protein product	HCP|HCPH|PTP-1C|SHP-1|SHP1		SH2 domain containing|Protein tyrosine phosphatases non-receptor type	741|812	ENSG00000111679
HGNC:9645	PTPN12	protein tyrosine phosphatase non-receptor type 12	protein-coding gene	gene with protein product	PTPG1|PTP-PEST		Protein tyrosine phosphatases non-receptor type	812	ENSG00000127947
HGNC:9666	PTPRC	protein tyrosine phosphatase receptor type C	protein-coding gene	gene with protein product	LCA|T200|GP180|LY5|B220|CD45R	CD45	CD molecules|Fibronectin type III domain containing|Protein tyrosine phosphatases receptor type	471|555|813	ENSG00000081237
HGNC:9670	PTPRF	protein tyrosine phosphatase receptor type F	protein-coding gene	gene with protein product		LAR	Fibronectin type III domain containing|I-set domain containing|Protein tyrosine phosphatases receptor type|LAR protein receptor tyrosine phosphatase family	555|593|813|2295	ENSG00000142949
HGNC:9674	PTPRK	protein tyrosine phosphatase receptor type K	protein-coding gene	gene with protein product	R-PTP-kappa		Fibronectin type III domain containing|Immunoglobulin like domain containing|Protein tyrosine phosphatases receptor type	555|594|813	ENSG00000152894
HGNC:9680	PTPRR	protein tyrosine phosphatase receptor type R	protein-coding gene	gene with protein product	PTPBR7|PTP-SL|EC-PTP|PCPTP1	PTPRQ	Protein tyrosine phosphatases receptor type	813	ENSG00000153233
HGNC:9691	PTTG2	pituitary tumor-transforming 2	protein-coding gene	gene with protein product					ENSG00000250254
HGNC:14171	PTX4	pentraxin 4	protein-coding gene	gene with protein product		C16orf38	Long pentraxins	1142	ENSG00000251692
HGNC:17042	PUF60	poly(U) binding splicing factor 60	protein-coding gene	gene with protein product	FIR|SIAHBP1|RoBPI		RNA binding motif containing|Spliceosomal A complex	725|1504	ENSG00000179950
HGNC:17015	PWP1	PWP1 homolog, endonuclein	protein-coding gene	gene with protein product	IEF-SSP-9502		WD repeat domain containing	362	ENSG00000136045
HGNC:9716	PXMP2	peroxisomal membrane protein 2	protein-coding gene	gene with protein product	PMP22|MPV17L3				ENSG00000176894
HGNC:9718	PXN	paxillin	protein-coding gene	gene with protein product			LIM domain containing	1218	ENSG00000089159
HGNC:9721	PYCR1	pyrroline-5-carboxylate reductase 1	protein-coding gene	gene with protein product	P5C		Pyrroline-5-carboxylate reductase family	3600	ENSG00000183010
HGNC:25846	PYCR3	pyrroline-5-carboxylate reductase 3	protein-coding gene	gene with protein product	FLJ13852	PYCRL	Pyrroline-5-carboxylate reductase family	3600	ENSG00000104524
HGNC:9725	PYGL	glycogen phosphorylase L	protein-coding gene	gene with protein product	GSD6		Glycogen phosphorylases	437	ENSG00000100504
HGNC:9781	RAB4A	RAB4A, member RAS oncogene family	protein-coding gene	gene with protein product	HRES-1/RAB4	RAB4	RAB, member RAS oncogene GTPases	388	ENSG00000168118
HGNC:9785	RAB5C	RAB5C, member RAS oncogene family	protein-coding gene	gene with protein product	RAB5CL	RABL	RAB, member RAS oncogene GTPases	388	ENSG00000108774
HGNC:9788	RAB7A	RAB7A, member RAS oncogene family	protein-coding gene	gene with protein product		RAB7|CMT2B	RAB, member RAS oncogene GTPases	388	ENSG00000075785
HGNC:29152	RAB11FIP2	RAB11 family interacting protein 2	protein-coding gene	gene with protein product	KIAA0941|nRip11|Rab11-FIP2		C2 domain containing|RAB11 binding domain containing	823|1623	ENSG00000107560
HGNC:18263	RAB21	RAB21, member RAS oncogene family	protein-coding gene	gene with protein product	KIAA0118		RAB, member RAS oncogene GTPases	388	ENSG00000080371
HGNC:9766	RAB27A	RAB27A, member RAS oncogene family	protein-coding gene	gene with protein product	RAB27|RAM|GS2|HsT18676		RAB, member RAS oncogene GTPases	388	ENSG00000069974
HGNC:9771	RAB31	RAB31, member RAS oncogene family	protein-coding gene	gene with protein product	Rab22B		RAB, member RAS oncogene GTPases	388	ENSG00000168461
HGNC:16075	RAB33B	RAB33B, member RAS oncogene family	protein-coding gene	gene with protein product	DKFZP434G099		RAB, member RAS oncogene GTPases	388	ENSG00000172007
HGNC:9774	RAB35	RAB35, member RAS oncogene family	protein-coding gene	gene with protein product	H-ray		RAB, member RAS oncogene GTPases	388	ENSG00000111737
HGNC:17677	RABEP1	rabaptin, RAB GTPase binding effector protein 1	protein-coding gene	gene with protein product	neurocrescin|RAB5EP|RABPT5|rabaptin-5				ENSG00000029725
HGNC:24703	RABL6	RAB, member RAS oncogene family like 6	protein-coding gene	gene with protein product	FLJ10101|FLJ13045|pp8875|bA216L13.9|Parf|RBEL1	C9orf86	RAB like GTPases|MicroRNA protein coding host genes	394|1691	ENSG00000196642
HGNC:9802	RAC2	Rac family small GTPase 2	protein-coding gene	gene with protein product	EN-7		Rho family GTPases|Receptor ligands	390|542	ENSG00000128340
HGNC:9827	RAD9A	RAD9 checkpoint clamp component A	protein-coding gene	gene with protein product		RAD9	Checkpoint clamp complex	1339	ENSG00000172613
HGNC:9813	RAD23B	RAD23 nucleotide excision repair protein B	protein-coding gene	gene with protein product	HHR23B|P58|HR23B		Nucleotide excision repair|RAD23 nucleotide excision repair protein family	1269|3880	ENSG00000119318
HGNC:9820	RAD51C	RAD51 paralog C	protein-coding gene	gene with protein product	RAD51L2|FANCO		FA complementation groups|RAD51 paralogs	548|3656	ENSG00000108384
HGNC:9828	RAE1	ribonucleic acid export 1	protein-coding gene	gene with protein product	Mnrp41|Gle2		WD repeat domain containing|Nucleoporins	362|1051	ENSG00000101146
HGNC:16793	RAET1E	retinoic acid early transcript 1E	protein-coding gene	gene with protein product	LETAL|bA350J20.7|ULBP4		Retinoic acid early transcript 1 family	4010	ENSG00000164520
HGNC:14873	RAI14	retinoic acid induced 14	protein-coding gene	gene with protein product	NORPEG|KIAA1334|RAI13|DKFZp564G013		N-Ank proteins	3601	ENSG00000039560
HGNC:9839	RALA	RAS like proto-oncogene A	protein-coding gene	gene with protein product		RAL	RAS type GTPase family	389	ENSG00000006451
HGNC:9840	RALB	RAS like proto-oncogene B	protein-coding gene	gene with protein product			RAS type GTPase family	389	ENSG00000144118
HGNC:9842	RALGDS	ral guanine nucleotide dissociation stimulator	protein-coding gene	gene with protein product	RGF|RalGEF|RGDS		Ral guanine nucleotide dissociation stimulator family	4041	ENSG00000160271
HGNC:9858	RAP1GAP	RAP1 GTPase activating protein	protein-coding gene	gene with protein product	KIAA0474|RAP1GAP1|RAP1GAPII	RAP1GA1			ENSG00000076864
HGNC:9871	RASA1	RAS p21 protein activator 1	protein-coding gene	gene with protein product	GAP|CM-AVM|p120GAP|p120RASGAP|p120	RASA	Pleckstrin homology domain containing|SH2 domain containing|C2 and RasGAP domain containing|SH3 domain containing	682|741|830|4034	ENSG00000145715
HGNC:24716	RASIP1	Ras interacting protein 1	protein-coding gene	gene with protein product	FLJ20401|RAIN				ENSG00000105538
HGNC:30289	RASL12	RAS like family 12	protein-coding gene	gene with protein product	RIS		RAS type GTPase family	389	ENSG00000103710
HGNC:1166	RASSF7	Ras association domain family member 7	protein-coding gene	gene with protein product	HRC1|HRAS1|FAP88|CFAP88	C11orf13	Ras association domain family|Cilia and flagella associated	1198|1491	ENSG00000099849
HGNC:9884	RB1	RB transcriptional corepressor 1	protein-coding gene	gene with protein product	RB|PPP1R130	OSRC	Receptor ligands	542	ENSG00000139687
HGNC:9906	RBFOX2	RNA binding fox-1 homolog 2	protein-coding gene	gene with protein product	HNRBP2|FOX-2|HRNBP2	RBM9	RNA binding motif containing|RNA binding fox-1 homologs	725|2286	ENSG00000100320
HGNC:30325	RBKS	ribokinase	protein-coding gene	gene with protein product	DKFZp686G13268|RBSK		Carbohydrate kinases	3430	ENSG00000171174
HGNC:9903	RBM6	RNA binding motif protein 6	protein-coding gene	gene with protein product	DEF-3|3G2|NY-LU-12|g16|DEF3		G-patch domain containing|RNA binding motif containing	579|725	ENSG00000004534
HGNC:24303	RBM15B	RNA binding motif protein 15B	protein-coding gene	gene with protein product	HUMAGCGB|OTT3		RNA binding motif containing	725	ENSG00000259956
HGNC:20327	RBM26	RNA binding motif protein 26	protein-coding gene	gene with protein product	PRO1777|SE70-2|FLJ20957|ZC3H17|ARRS2|PPP1R132	C13orf10	Zinc fingers CCCH-type|Protein phosphatase 1 regulatory subunits|RNA binding motif containing	73|694|725	ENSG00000139746
HGNC:28965	RBM34	RNA binding motif protein 34	protein-coding gene	gene with protein product	KIAA0117		RNA binding motif containing	725	ENSG00000188739
HGNC:30358	RBM47	RNA binding motif protein 47	protein-coding gene	gene with protein product	FLJ20273|NET18		RNA binding motif containing|MicroRNA protein coding host genes	725|1691	ENSG00000163694
HGNC:19097	RBPMS	RNA binding protein, mRNA processing factor	protein-coding gene	gene with protein product	HERMES		RNA binding motif containing	725	ENSG00000157110
HGNC:3042	RCAN3	regulator of calcineurin 3	protein-coding gene	gene with protein product		DSCR1L2	Regulator of calcineurin family	3797	ENSG00000117602
HGNC:9944	RDX	radixin	protein-coding gene	gene with protein product		DFNB24	FERM domain containing	1293	ENSG00000137710
HGNC:30077	REEP5	receptor accessory protein 5	protein-coding gene	gene with protein product	DP1|TB2|D5S346|Yip2e|POB16	C5orf18	Receptor accessory proteins	717	ENSG00000129625
HGNC:9956	RELB	RELB proto-oncogene, NF-kB subunit	protein-coding gene	gene with protein product	REL-B		NF-kappa B complex subunits|IPT domain containing	1254|1752	ENSG00000104856
HGNC:20248	REM2	RRAD and GEM like GTPase 2	protein-coding gene	gene with protein product	FLJ38964		RGK type GTPase family	1260	ENSG00000139890
HGNC:17922	REPIN1	replication initiator 1	protein-coding gene	gene with protein product	RIP60|AP4|H_DJ0584D14.12|Zfp464	ZNF464	Zinc fingers C2H2-type	28	ENSG00000214022
HGNC:14060	REV1	REV1 DNA directed polymerase	protein-coding gene	gene with protein product		REV1L	DNA polymerases	535	ENSG00000135945
HGNC:9970	RFC2	replication factor C subunit 2	protein-coding gene	gene with protein product	A1|RFC40		AAA ATPases|Replication factor C	413|3641	ENSG00000049541
HGNC:9973	RFC5	replication factor C subunit 5	protein-coding gene	gene with protein product	RFC36		AAA ATPases|Replication factor C	413|3641	ENSG00000111445
HGNC:9974	RFNG	RFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	protein-coding gene	gene with protein product			Beta 3-glycosyltransferases	426	ENSG00000169733
HGNC:9986	RFX5	regulatory factor X5	protein-coding gene	gene with protein product			Regulatory factor X family	1153	ENSG00000143390
HGNC:9989	RGN	regucalcin	protein-coding gene	gene with protein product	SMP30|RC				ENSG00000130988
HGNC:9998	RGS2	regulator of G protein signaling 2	protein-coding gene	gene with protein product		G0S8	Receptor ligands|Regulators of G-protein signaling	542|720	ENSG00000116741
HGNC:10003	RGS7	regulator of G protein signaling 7	protein-coding gene	gene with protein product			Regulators of G-protein signaling|DEP domain containing	720|2329	ENSG00000182901
HGNC:9996	RGS14	regulator of G protein signaling 14	protein-coding gene	gene with protein product			Regulators of G-protein signaling	720	ENSG00000169220
HGNC:14261	RGS18	regulator of G protein signaling 18	protein-coding gene	gene with protein product	RGS13		Regulators of G-protein signaling	720	ENSG00000150681
HGNC:10011	RHEB	Ras homolog, mTORC1 binding	protein-coding gene	gene with protein product		RHEB2	RAS type GTPase family	389	ENSG00000106615
HGNC:667	RHOA	ras homolog family member A	protein-coding gene	gene with protein product	Rho12|RHOH12	ARH12|ARHA	Rho family GTPases	390	ENSG00000067560
HGNC:18756	RHOBTB2	Rho related BTB domain containing 2	protein-coding gene	gene with protein product	KIAA0717|DBC2		Rho family GTPases|BTB domain containing	390|861	ENSG00000008853
HGNC:21169	RHOT2	ras homolog family member T2	protein-coding gene	gene with protein product	MIRO-2|MIRO2	C16orf39|ARHT2	Miro like atypical Rho GTPases|EF-hand domain containing	392|863	ENSG00000140983
HGNC:19973	RHPN1	rhophilin Rho GTPase binding protein 1	protein-coding gene	gene with protein product	KIAA1929|RHPN|ODF5		PDZ domain containing	1220	ENSG00000158106
HGNC:19974	RHPN2	rhophilin Rho GTPase binding protein 2	protein-coding gene	gene with protein product			PDZ domain containing	1220	ENSG00000131941
HGNC:19102	RIGI	RNA sensor RIG-I	protein-coding gene	gene with protein product	RIG-I|FLJ13599|DKFZp434J1111|RIG-1|RIG1	DDX58	DEAD-box helicases|Caspase recruitment domain containing|RIG-I RNA sensor family	499|959|3439	ENSG00000107201
HGNC:10018	RING1	ring finger protein 1	protein-coding gene	gene with protein product	RNF1		Ring finger proteins|RING finger E3 ubiquitin protein ligases	58|4163	ENSG00000204227
