hgnc_id	symbol	name	locus_group	locus_type	alias_symbol	prev_symbol	gene_group	gene_group_id	ensembl_gene_id
HGNC:15767	FERMT2	FERM domain containing kindlin 2	protein-coding gene	gene with protein product	mig-2|KIND2|UNC112B	PLEKHC1	Fermitins|Pleckstrin homology domain containing|FERM domain containing	561|682|1293	ENSG00000073712
HGNC:3660	FEZ2	fasciculation and elongation protein zeta 2	protein-coding gene	gene with protein product			Fasciculation and elongation protein zeta family	3790	ENSG00000171055
HGNC:4501	FFAR2	free fatty acid receptor 2	protein-coding gene	gene with protein product	FFA2R	GPR43	Free fatty acid receptors	203	ENSG00000126262
HGNC:3688	FGFR1	fibroblast growth factor receptor 1	protein-coding gene	gene with protein product	H2|H3|H4|H5|CEK|FLG|BFGFR|N-SAM|CD331	FLT2|KAL2	CD molecules|I-set domain containing|Fibroblast growth factor receptor family	471|593|3856	ENSG00000077782
HGNC:3689	FGFR2	fibroblast growth factor receptor 2	protein-coding gene	gene with protein product	CEK3|TK14|TK25|ECT1|K-SAM|CD332	KGFR|BEK|CFD1|JWS	CD molecules|I-set domain containing|Fibroblast growth factor receptor family	471|593|3856	ENSG00000066468
HGNC:3691	FGFR4	fibroblast growth factor receptor 4	protein-coding gene	gene with protein product	JTK2|CD334|TKF		CD molecules|I-set domain containing|Fibroblast growth factor receptor family	471|593|3856	ENSG00000160867
HGNC:3703	FHL2	four and a half LIM domains 2	protein-coding gene	gene with protein product	FHL-2|SLIM3|DRAL		LIM domain containing	1218	ENSG00000115641
HGNC:33747	FIBIN	fin bud initiation factor homolog	protein-coding gene	gene with protein product	MGC24932				ENSG00000176971
HGNC:13287	FIGNL2	fidgetin like 2	protein-coding gene	gene with protein product			AAA ATPases	413	ENSG00000261308
HGNC:21689	FIS1	fission, mitochondrial 1	protein-coding gene	gene with protein product	CGI-135|H_NH0132A01.6	TTC11	Tetratricopeptide repeat domain containing	769	ENSG00000214253
HGNC:3720	FKBP4	FKBP prolyl isomerase 4	protein-coding gene	gene with protein product	FKBP59|FKBP52		Tetratricopeptide repeat domain containing|FKBP prolyl isomerase family	769|910	ENSG00000004478
HGNC:18625	FKBP14	FKBP prolyl isomerase 14	protein-coding gene	gene with protein product	FLJ20731|FKBP22		EF-hand domain containing|FKBP prolyl isomerase family	863|910	ENSG00000106080
HGNC:3755	FLNB	filamin B	protein-coding gene	gene with protein product	TAP|TABP|ABP-278|FH1	FLN1L|LRS1	Filamin family	1889	ENSG00000136068
HGNC:3769	FMO1	flavin containing dimethylaniline monoxygenase 1	protein-coding gene	gene with protein product			Flavin containing monooxygenases|Flavoproteins	1667|2258	ENSG00000010932
HGNC:3770	FMO2	flavin containing dimethylaniline monoxygenase 2	protein-coding gene	gene with protein product			Flavin containing monooxygenases|Flavoproteins	1667|2258	ENSG00000094963
HGNC:3775	FMR1	fragile X messenger ribonucleoprotein 1	protein-coding gene	gene with protein product	FMRP|FRAXA|MGC87458	POF1|POF	FMR1 family	4064	ENSG00000102081
HGNC:3778	FN1	fibronectin 1	protein-coding gene	gene with protein product	MSF|CIG|LETS|GFND2|FINC|lnc-ABCA12-8		Receptor ligands|Fibronectin type III domain containing	542|555	ENSG00000115414
HGNC:20296	FNDC3A	fibronectin type III domain containing 3A	protein-coding gene	gene with protein product	bA203I16.5|KIAA0970	FNDC3	Fibronectin type III domain containing	555	ENSG00000102531
HGNC:42951	FNDC10	fibronectin type III domain containing 10	protein-coding gene	gene with protein product		C1orf233			ENSG00000228594
HGNC:3796	FOS	Fos proto-oncogene, AP-1 transcription factor subunit	protein-coding gene	gene with protein product	c-fos|AP-1		Fos transcription factor family	1256	ENSG00000170345
HGNC:13718	FOSL1	FOS like 1, AP-1 transcription factor subunit	protein-coding gene	gene with protein product	fra-1		Fos transcription factor family	1256	ENSG00000175592
HGNC:3798	FOSL2	FOS like 2, AP-1 transcription factor subunit	protein-coding gene	gene with protein product	FRA2|FLJ23306		Fos transcription factor family	1256	ENSG00000075426
HGNC:29178	FOXJ3	forkhead box J3	protein-coding gene	gene with protein product	KIAA1041		Forkhead boxes	508	ENSG00000198815
HGNC:34428	FOXL2NB	FOXL2 neighbor	protein-coding gene	gene with protein product	FLJ43329	C3orf72			ENSG00000206262
HGNC:3818	FOXM1	forkhead box M1	protein-coding gene	gene with protein product	HFH-11|trident|HNF-3|INS-1|MPP2|MPHOSPH2|TGT3	FKHL16	Forkhead boxes|FOXM1-MMB complex subunits	508|2283	ENSG00000111206
HGNC:3821	FOXO3	forkhead box O3	protein-coding gene	gene with protein product	AF6q21|FOXO2	FKHRL1|FOXO3A	Forkhead boxes	508	ENSG00000118689
HGNC:7139	FOXO4	forkhead box O4	protein-coding gene	gene with protein product	AFX1	MLLT7	Forkhead boxes	508	ENSG00000184481
HGNC:3824	FPGS	folylpolyglutamate synthase	protein-coding gene	gene with protein product			Ligases	4106	ENSG00000136877
HGNC:16971	FRS2	fibroblast growth factor receptor substrate 2	protein-coding gene	gene with protein product	SNT-1|FRS2alpha|SNT1|FRS2A				ENSG00000166225
HGNC:13745	FSD1	fibronectin type III and SPRY domain containing 1	protein-coding gene	gene with protein product	MGC3213|MIR1		Fibronectin type III domain containing	555	ENSG00000105255
HGNC:13254	FTSJ1	FtsJ RNA 2'-O-methyltransferase 1	protein-coding gene	gene with protein product	JM23|CDLIV|SPB1|TRM7|TRMT7	MRX9|MRX44	7BS 2'O-ribose DNA/RNA methyltransferases|DNA/RNA methyltransferases	2062|3371	ENSG00000068438
HGNC:4008	FUCA2	alpha-L-fucosidase 2	protein-coding gene	gene with protein product	MGC1314|dJ20N2.5		Alpha-L-fucosidases	1653	ENSG00000001036
HGNC:4012	FUT1	fucosyltransferase 1 (H blood group)	protein-coding gene	gene with protein product		H|HSC	Fucosyltransferases|Blood group antigens	434|454	ENSG00000174951
HGNC:4015	FUT4	fucosyltransferase 4	protein-coding gene	gene with protein product	FUC-TIV	CD15|FCT3A|ELFT	Fucosyltransferases|CD molecules	434|471	ENSG00000196371
HGNC:4018	FUT7	fucosyltransferase 7	protein-coding gene	gene with protein product			Fucosyltransferases	434	ENSG00000180549
HGNC:4030	FXYD6	FXYD domain containing ion transport regulator 6	protein-coding gene	gene with protein product			FXYD domain containing ion transport regulators	3791	ENSG00000137726
HGNC:4037	FYN	FYN proto-oncogene, Src family tyrosine kinase	protein-coding gene	gene with protein product	SYN|SLK|MGC45350		SH2 domain containing|Src family tyrosine kinases|SH3 domain containing	741|1388|4034	ENSG00000010810
HGNC:25407	FYTTD1	forty-two-three domain containing 1	protein-coding gene	gene with protein product	DKFZp761B1514|UIF		Transcription and export complex 1 subunits	1348	ENSG00000122068
HGNC:4038	FZD1	frizzled class receptor 1	protein-coding gene	gene with protein product	DKFZp564G072|Hfz1		G protein-coupled receptors, Class F frizzled	286	ENSG00000157240
HGNC:4044	FZD6	frizzled class receptor 6	protein-coding gene	gene with protein product	Hfz6		G protein-coupled receptors, Class F frizzled	286	ENSG00000164930
HGNC:4045	FZD7	frizzled class receptor 7	protein-coding gene	gene with protein product	FzE3		G protein-coupled receptors, Class F frizzled	286	ENSG00000155760
HGNC:4065	GAA	alpha glucosidase	protein-coding gene	gene with protein product			Glycoside hydrolase family 31	1413	ENSG00000171298
HGNC:4066	GAB1	GRB2 associated binding protein 1	protein-coding gene	gene with protein product		DFNB26	Pleckstrin homology domain containing|MicroRNA protein coding host genes	682|1691	ENSG00000109458
HGNC:4074	GABPB1	GA binding protein transcription factor subunit beta 1	protein-coding gene	gene with protein product	E4TF1-47|GABPB	GABPB2	Ankyrin repeat domain containing|GA binding protein transcription factor subunits	403|3869	ENSG00000104064
HGNC:4095	GADD45A	growth arrest and DNA damage inducible alpha	protein-coding gene	gene with protein product	GADD45	DDIT1	Growth arrest and DNA damage inducible family	3885	ENSG00000116717
HGNC:4096	GADD45B	growth arrest and DNA damage inducible beta	protein-coding gene	gene with protein product	GADD45BETA|DKFZP566B133	MYD118	Growth arrest and DNA damage inducible family	3885	ENSG00000099860
HGNC:30968	GAGE10	G antigen 10	protein-coding gene	gene with protein product	OTTHUMG00000024136		GAGE family	1845	ENSG00000215274
HGNC:4116	GALE	UDP-galactose-4-epimerase	protein-coding gene	gene with protein product	SDR1E1		Short chain dehydrogenase/reductase superfamily	743	ENSG00000117308
HGNC:4128	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	protein-coding gene	gene with protein product	GalNAc-T6		Polypeptide N-acetylgalactosaminyltransferases	433	ENSG00000139629
HGNC:19875	GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	protein-coding gene	gene with protein product	GalNAc-T11		Polypeptide N-acetylgalactosaminyltransferases	433	ENSG00000178234
HGNC:24840	GALP	galanin like peptide	protein-coding gene	gene with protein product	GAL		Neuropeptides	1902	ENSG00000197487
HGNC:24864	GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	protein-coding gene	gene with protein product	GAPDH-2|GAPD2	GAPDS	Glyceraldehyde-3-phosphate dehydrogenase family	4084	ENSG00000105679
HGNC:27998	GARIN1A	golgi associated RAB2 interactor 1A	protein-coding gene	gene with protein product	GARI	FAM137B|FAM71F2	Golgi associated RAB2 interactor family	2323	ENSG00000205085
HGNC:26541	GARIN4	golgi associated RAB2 interactor family member 4	protein-coding gene	gene with protein product	FLJ32796|GARI-L4	FAM71A	Golgi associated RAB2 interactor family	2323	ENSG00000162771
HGNC:29016	GARRE1	granule associated Rac and RHOG effector 1	protein-coding gene	gene with protein product	MiniBAR	KIAA0355			ENSG00000166398
HGNC:4171	GATA2	GATA binding protein 2	protein-coding gene	gene with protein product	NFE1B		GATA zinc finger domain containing	82	ENSG00000179348
HGNC:4172	GATA3	GATA binding protein 3	protein-coding gene	gene with protein product	HDR		GATA zinc finger domain containing	82	ENSG00000107485
HGNC:29989	GATAD2A	GATA zinc finger domain containing 2A	protein-coding gene	gene with protein product	p66alpha		GATA zinc finger domain containing|NuRD complex subunits|MicroRNA protein coding host genes	82|1305|1691	ENSG00000167491
HGNC:4175	GATM	glycine amidinotransferase	protein-coding gene	gene with protein product	AGAT				ENSG00000171766
HGNC:4185	GBX1	gastrulation brain homeobox 1	protein-coding gene	gene with protein product			HOXL subclass homeoboxes	518	ENSG00000164900
HGNC:4186	GBX2	gastrulation brain homeobox 2	protein-coding gene	gene with protein product			HOXL subclass homeoboxes	518	ENSG00000168505
HGNC:4196	GCKR	glucokinase regulator	protein-coding gene	gene with protein product					ENSG00000084734
HGNC:4216	GDF11	growth differentiation factor 11	protein-coding gene	gene with protein product	BMP-11|BMP11		Transforming growth factor beta superfamily	1932	ENSG00000135414
HGNC:28804	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding gene	gene with protein product	PP1665|GDE2				ENSG00000158555
HGNC:12790	GET1	guided entry of tail-anchored proteins factor 1	protein-coding gene	gene with protein product	CHD5	WRB	Guided entry of tail-anchored proteins complex subunits	1912	ENSG00000182093
HGNC:21096	GFOD1	Gfo/Idh/MocA-like oxidoreductase domain containing 1	protein-coding gene	gene with protein product	FLJ20330|ADG-90	C6orf114	Gfo/Idh/MocA-like oxidoreductase domain containing	2241	ENSG00000145990
HGNC:4241	GFPT1	glutamine--fructose-6-phosphate transaminase 1	protein-coding gene	gene with protein product	GFAT|GFA|GFAT1	GFPT	Glutamine--fructose-6-phosphate transaminase family	3519	ENSG00000198380
HGNC:12390	GFUS	GDP-L-fucose synthase	protein-coding gene	gene with protein product	FX|P35B|SDR4E1	TSTA3	Short chain dehydrogenase/reductase superfamily	743	ENSG00000104522
HGNC:17842	GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	protein-coding gene	gene with protein product			Golgi associated, gamma adaptin ear containing, ARF binding proteins	1031	ENSG00000100083
HGNC:4263	GHR	growth hormone receptor	protein-coding gene	gene with protein product	GHBP		Fibronectin type III domain containing	555	ENSG00000112964
HGNC:11960	GIGYF2	GRB10 interacting GYF protein 2	protein-coding gene	gene with protein product	KIAA0642|GYF2	PERQ2|PERQ3|TNRC15|PARK11	GRB10 interacting GYF protein family	3886	ENSG00000204120
HGNC:19147	GJD3	gap junction protein delta 3	protein-coding gene	gene with protein product	CX31.9|GJA11|Cx30.2	GJC1	Gap junction proteins	314	ENSG00000183153
HGNC:4315	GLE1	GLE1 RNA export mediator	protein-coding gene	gene with protein product	hGLE1	GLE1L|LCCS1	Nucleoporins	1051	ENSG00000119392
HGNC:4318	GLI2	GLI family zinc finger 2	protein-coding gene	gene with protein product	THP2|HPE9|THP1		Zinc fingers C2H2-type	28	ENSG00000074047
HGNC:14373	GLMN	glomulin, FKBP associated protein	protein-coding gene	gene with protein product	FAP48|FAP68|GLML|GVM|FKBPAP	VMGLOM			ENSG00000174842
HGNC:14111	GLOD4	glyoxalase domain containing 4	protein-coding gene	gene with protein product	CGI-150|HC71	C17orf25	Glyoxalase domain containing	2111	ENSG00000167699
HGNC:4328	GLRA3	glycine receptor alpha 3	protein-coding gene	gene with protein product			Glycine receptors	868	ENSG00000145451
HGNC:4330	GLRX	glutaredoxin	protein-coding gene	gene with protein product	GRX|GRX1		Glutaredoxin domain containing	1468	ENSG00000173221
HGNC:17493	GMNN	geminin DNA replication inhibitor	protein-coding gene	gene with protein product	Gem				ENSG00000112312
HGNC:4379	GNA11	G protein subunit alpha 11	protein-coding gene	gene with protein product	FBH|FBH2|FHH2	HHC2	G protein subunits alpha, group q	1427	ENSG00000088256
HGNC:4383	GNA15	G protein subunit alpha 15	protein-coding gene	gene with protein product	GNA16		G protein subunits alpha, group q	1427	ENSG00000060558
HGNC:4384	GNAI1	G protein subunit alpha i1	protein-coding gene	gene with protein product			G protein subunits alpha, group i	1428	ENSG00000127955
HGNC:4385	GNAI2	G protein subunit alpha i2	protein-coding gene	gene with protein product	GIP	GNAI2B	G protein subunits alpha, group i|MicroRNA protein coding host genes	1428|1691	ENSG00000114353
HGNC:4401	GNB5	G protein subunit beta 5	protein-coding gene	gene with protein product	GB5		WD repeat domain containing|G protein subunits beta	362|1430	ENSG00000069966
HGNC:29931	GNL3	G protein nucleolar 3	protein-coding gene	gene with protein product	C77032|E2IG3|MGC800|NS|Nug1		Small nucleolar RNA protein coding host genes	1835	ENSG00000163938
HGNC:4417	GNPDA1	glucosamine-6-phosphate deaminase 1	protein-coding gene	gene with protein product	GNPDA|HLN|GPI|KIAA0060	GNPI			ENSG00000113552
HGNC:26695	GOLGA6L2	golgin A6 family like 2	protein-coding gene	gene with protein product	CT105|FLJ36144		Golgin related	1856	ENSG00000174450
HGNC:15448	GOLIM4	golgi integral membrane protein 4	protein-coding gene	gene with protein product	GPP130|GIMPC|P138	GOLPH4			ENSG00000173905
HGNC:20175	GOLT1B	golgi transport 1B	protein-coding gene	gene with protein product	CGI-141|YMR292W|GOT1				ENSG00000111711
HGNC:25676	GORAB	golgin, RAB6 interacting	protein-coding gene	gene with protein product	FLJ11752|NTKL-BP1|GO	SCYL1BP1			ENSG00000120370
HGNC:17500	GORASP2	golgi reassembly stacking protein 2	protein-coding gene	gene with protein product	GRASP55|GRS2|GOLPH6		PDZ domain containing	1220	ENSG00000115806
HGNC:4443	GP5	glycoprotein V platelet	protein-coding gene	gene with protein product	CD42d		CD molecules	471	ENSG00000178732
HGNC:27168	GPAT2	glycerol-3-phosphate acyltransferase 2, mitochondrial	protein-coding gene	gene with protein product	CT123		Glycerol-3-phosphate acyltransferases	1035	ENSG00000186281
HGNC:29066	GPATCH8	G-patch domain containing 8	protein-coding gene	gene with protein product		KIAA0553|GPATC8	Zinc fingers C2H2-type|G-patch domain containing|ZNF804 family	28|579|3679	ENSG00000186566
HGNC:4449	GPC1	glypican 1	protein-coding gene	gene with protein product	glypican		Glypicans|MicroRNA protein coding host genes	572|1691	ENSG00000063660
HGNC:4455	GPD1	glycerol-3-phosphate dehydrogenase 1	protein-coding gene	gene with protein product			Glycerol-3-phosphate dehydrogenases	4082	ENSG00000167588
HGNC:4485	GPER1	G protein-coupled estrogen receptor 1	protein-coding gene	gene with protein product	FEG-1|GPCR-Br|LERGU|LERGU2|DRY12|LyGPR|CEPR	CMKRL2|GPR30|GPER	G protein-coupled estrogen receptor	934	ENSG00000164850
